name,url,href,author,comment_count,follower, content
Steins Gate,https://i.pinimg.com/236x/9d/14/93/9d14937aa647884f94c8cd07babdf7b5.jpg,/pin/811773901559197791/,Author not found,Comments,165,None
Steins Gate,https://i.pinimg.com/236x/04/a7/e2/04a7e27bc0c2389cf293bae1cbc559c7.jpg,/pin/16044142410064765/,Joshua Vicente,1 Comment,2kfollowers,None
Steins Gate,https://i.pinimg.com/236x/c4/b0/52/c4b05230e96ec6921db839a90f1e3492.jpg,/pin/1196337387500421/,Microwave,Comments,44followers,Lucky-Kurisu-Star
Steins Gate,https://i.pinimg.com/236x/12/39/02/1239023282f76e83d565d44dcc532708.jpg,/pin/733946070557634561/,Author not found,Comments,204,Steins;Gate
Steins Gate,https://i.pinimg.com/236x/a3/8f/c1/a38fc1b48d4e2799a4556fda4f6a0419.jpg,/pin/417779302955484156/,Author not found,Comments,16k,None
Steins Gate,https://i.pinimg.com/236x/a5/3e/bc/a53ebc7164609cfa2c2e1768d0be4a58.jpg,/pin/593419688432978416/,Author not found,Comments,8k,Steins;Gate
Steins Gate,https://i.pinimg.com/474x/b9/e5/37/b9e53711cb7e2ededf250116c32326e6.jpg,/pin/603341681360631619/,₳ᥒіmᥱs ₩ᥲᥣᥣ⍴ᥲ⍴ᥱrs 🕷,Comments,6.2k, 
Steins Gate,https://i.pinimg.com/236x/d5/3b/92/d53b9209f545d9896e4f62b198bbed36.jpg,/pin/674273375464959013/,Author not found,Comments,551k,Kurisu Makise (牧瀬 紅莉栖) from Steins;Gate (Anime)
Steins Gate,https://i.pinimg.com/236x/58/72/9c/58729ca1d7936089517d78c97c1ada24.jpg,/pin/997195542481628495/,Author not found,Comments,4k,By @jeonghee1414 on Twitter
Steins Gate,https://i.pinimg.com/236x/15/3d/0a/153d0a18aa7c2bbe851ca8f062441fa5.jpg,/pin/86835099255956634/,Author not found,Comments,81k,None
Steins Gate,https://i.pinimg.com/236x/84/a6/9a/84a69a450aec007f7c135f53382367df.jpg,/pin/270004940153270756/,Szczelajo,Comments,4kfollowers,Steins;gate
